"","Comuna ","Paso ","Estado","Nota"
"","Placilla","3","Preparación","No info"
"","Chepica","3","Preparación","No info"
"","La Estrella","3","Preparación","No info"
"","Nancagua","3","Preparación","No info"
"","Pichilemu","3","Preparación","No info"
"","Santa Cruz","3","Preparación","No info"
"","Graneros","2","Transición","No info"
"","Machalí","2","Transición","No info"
"","Rancagua","2","Transición","No info"
"","Rengo","1","Cuarentena","No info"
"","Empedrado","3","Preparación","No info"
"","Parral","3","Preparación","No info"
"","Romeral","3","Preparación","No info"
"","Vichuquén","3","Preparación","No info"
"","Curepto","3","Preparación","No info"
"","Molina","3","Preparación","No info"
"","Río Claro","3","Preparación","No info"
"","Teno","3","Preparación","No info"
"","Constitución","3","Preparación","No info"
"","Maule","3","Preparación","No info"
"","Retiro","3","Preparación","No info"
"","Talca","3","Preparación","No info"
"","Colbún","3","Preparación","No info"
"","Longaví","3","Preparación","No info"
"","Rauco","3","Preparación","No info"
"","San Rafael","3","Preparación","No info"
"","Chanco","3","Preparación","No info"
"","Linares","3","Preparación","No info"
"","Pencahue","3","Preparación","No info"
"","San Javier","3","Preparación","No info"
"","Cauquenes","3","Preparación","No info"
"","Licantén","3","Preparación","No info"
"","Pelluhue","3","Preparación","No info"
"","San Clemente","3","Preparación","No info"
"","Yerbas Buenas","3","Preparación","No info"
"","Hualañé","3","Preparación","No info"
"","Pelarco","3","Preparación","No info"
"","Sagrada Familia","3","Preparación","No info"
"","Villa Alegre","3","Preparación","No info"
"","Curicó","1","Cuarentena","No info"
"","El Carmen","3","Preparación","No info"
"","Quirihue","3","Preparación","No info"
"","Yungay","3","Preparación","No info"
"","Coihueco","3","Preparación","No info"
"","Quillón","3","Preparación","No info"
"","Treguaco","3","Preparación","No info"
"","Coelemu","3","Preparación","No info"
"","Portezuelo","3","Preparación","No info"
"","San Nicolás","3","Preparación","No info"
"","Cobquecura","3","Preparación","No info"
"","Pinto","3","Preparación","No info"
"","San Ignacio","3","Preparación","No info"
"","Bulnes","3","Preparación","No info"
"","Pemuco","3","Preparación","No info"
"","San Fabián","3","Preparación","No info"
"","Ñiquén","3","Preparación","No info"
